title,price,image
Fujifilm Instax Mini Instant Film Twin Pack (White),$13.98,https://images-na.ssl-images-amazon.com/images/I/61dgEk4GNlL._AC_UL600_SR600,400_.jpg
Wall Charger. Surge Protector. QINLIANF 5 Outlet Extender with 4 USB Charging Ports (4.8A Total) 3-Sided 1680J Power Strip Multi Plug Adapter Spaced for Home Travel Office (3U1C),$15.97,https://images-na.ssl-images-amazon.com/images/I/61Hh-YlfJOL._AC_UL600_SR600,400_.jpg
Apple 2020 MacBook Air Laptop M1 Chip. 13" Retina Display. 8GB RAM. 256GB SSD Storage. Backlit Keyboard. FaceTime HD Camera. Touch ID. Works with iPhone/iPad; Space Gray,$749.99,https://images-na.ssl-images-amazon.com/images/I/71jG+e7roXL._AC_UL600_SR600,400_.jpg
Mounting Dream UL Listed TV Mount for Most 37-70 Inch TV. Universal Tilt TV Wall Mount Fit 16". 18". 24" Stud with Loading Capacity 132lbs. Max Vesa 600 x 400mm. Low Profile Flat Wall Mount Bracket,$27.99,https://images-na.ssl-images-amazon.com/images/I/61DNtJ07-0L._AC_UL300_SR300,200_.jpg
Roku Voice Remote (Official) for Roku Players. Roku Audio. and Roku TV,$19.88,https://images-na.ssl-images-amazon.com/images/I/61hqPKLHI-L._AC_UL300_SR300,200_.jpg
Kindle Paperwhite (8 GB) – Now with a 6.8" display and adjustable warm light – Black,$139.99,https://images-na.ssl-images-amazon.com/images/I/51QCk82iGcL._AC_UL300_SR300,200_.jpg
Bluetooth Headphones Wireless Earbuds 80hrs Playtime Wireless Charging Case Digital Display Sports Ear buds with Earhook Premium Deep Bass IPX7 Waterproof Over-Ear Earphones for TV Phone Laptop Black,$35.99,https://images-na.ssl-images-amazon.com/images/I/71G9a1iSpHL._AC_UL300_SR300,200_.jpg
INSIGNIA 32-inch Class F20 Series Smart HD 720p Fire TV (NS-32F201NA23. 2022 Model),$89.99,https://images-na.ssl-images-amazon.com/images/I/815E5aShTqL._AC_UL300_SR300,200_.jpg
Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),$16.99,https://images-na.ssl-images-amazon.com/images/I/715Sv8XftgL._AC_UL300_SR300,200_.jpg
Introducing Echo Pop | Full sound compact smart speaker with Alexa | Charcoal,$39.99,https://images-na.ssl-images-amazon.com/images/I/41isZ6WaV9L._AC_UL300_SR300,200_.jpg
All-new Echo Show 5 (3rd Gen. 2023 release) | Smart display with 2x the bass and clearer sound | Charcoal ,$89.99,https://images-na.ssl-images-amazon.com/images/I/51jf-jmkW5L._AC_UL300_SR300,200_.jpg
Upgraded. Anker Soundcore Bluetooth Speaker with IPX5 Waterproof. Stereo Sound. 24H Playtime. Portable Wireless Speaker for iPhone. Samsung and More,$27.99,https://images-na.ssl-images-amazon.com/images/I/61iJoQoiVnL._AC_UL300_SR300,200_.jpg
Cable Zip Ties.400 Pack Black Zip Ties Assorted Sizes 12+8+6+4 Inch.Multi-Purpose Self-Locking Nylon Cable Ties Cord Management Ties.Plastic Wire Ties for Home.Office.Garden.Workshop. By HAVE ME TD,$6.99,https://images-na.ssl-images-amazon.com/images/I/71+0M5K+jgL._AC_UL300_SR300,200_.jpg
Fire TV Stick Lite. free and live TV. Alexa Voice Remote Lite. smart home controls. HD streaming,$29.99,https://images-na.ssl-images-amazon.com/images/I/51Da2Z+FTFL._AC_UL300_SR300,200_.jpg
TOZO T6 True Wireless Earbuds Bluetooth 5.3 Headphones Touch Control with Wireless Charging Case IPX8 Waterproof Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass Black,$26.99,https://images-na.ssl-images-amazon.com/images/I/71cVOgvystL._AC_UL300_SR300,200_.jpg
Chromecast with Google TV (HD) - Streaming Stick Entertainment on Your TV with Voice Search - Watch Movies. Shows. and Live TV in 1080p HD - Snow,$38.88,https://images-na.ssl-images-amazon.com/images/I/51zUyjdP1oL._AC_UL300_SR300,200_.jpg
Surge Protector Power Strip - Nuetsa Flat Plug Extension Cord with 8 Outlets and 4 USB Ports. 6 Feet Power Cord (1625W/13A). 2700 Joules. ETL Listed. Black,$17.98,https://images-na.ssl-images-amazon.com/images/I/61JYu06+E3L._AC_UL300_SR300,200_.jpg
noot products Kids Headphones K33 Foldable Stereo Tangle-Free 5ft Long Cord 3.5mm Jack Plug in Wired On-Ear Headset for iPad/Amazon Kindle.Fire/Boys/Girls/School/Travel/Plane/Tablet (Electric Blue),$9.59,https://images-na.ssl-images-amazon.com/images/I/714dVWam9aL._AC_UL300_SR300,200_.jpg
Apple iPad (10th Generation): with A14 Bionic chip. 10.9-inch Liquid Retina Display. 64GB. Wi-Fi 6. 12MP front/12MP Back Camera. Touch ID. All-Day Battery Life – Blue,$399.99,https://images-na.ssl-images-amazon.com/images/I/61uA2UVnYWL._AC_UL300_SR300,200_.jpg
USB 3.0 Hub. VIENON 4-Port USB Hub USB Splitter USB Expander for Laptop. Xbox. Flash Drive. HDD. Console. Printer. Camera.Keyborad. Mouse,$7.99,https://images-na.ssl-images-amazon.com/images/I/51MiG9+u4lL._AC_UL300_SR300,200_.jpg
POWMEE P20 Kids Headphones Over-Ear Headphones for Kids/Teens/Boys/Girls/School with 94dB Volume Limited Adjustable Stereo Tangle-Free 3.5MM Jack Wire Cord for Fire Tablets/Travel/PC/Phones(Blue),$8.99,https://images-na.ssl-images-amazon.com/images/I/61ZQCWuUl+L._AC_UL300_SR300,200_.jpg
COMSOON Bluetooth 5.0 Receiver for Car. Noise Cancelling Bluetooth AUX Adapter. Bluetooth Music Receiver for Home Stereo/Wired Headphones. Hands-Free Call. 16H Battery Life - Black+Silver,$14.39,https://images-na.ssl-images-amazon.com/images/I/71jedtuRDHS._AC_UL300_SR300,200_.jpg
Flat Plug Power Strip. TESSAN 5 ft Ultra Thin Extension Cord with 3 USB Wall Charger(1 USB C Port). 4 Outlets Slim Desk Charging Station Compact for Travel. Office. School. Dorm Room Essentials,$17.39,https://images-na.ssl-images-amazon.com/images/I/61xffPLJ4NL._AC_UL300_SR300,200_.jpg
